argentina,6,2,43
australia,49,2,278
austria,4,2,4
belgium,3,3,33
boliva,10,8,54
brazil,163,163,825
bulgaria,1,2,2
canada,1102,410,2016
chile,113,131,470
,,,
columbia,25,26,148
denmark,1,2,5
egypt,14,7,21
finland,9,1,6
germany,34,26,108
greece,71,79,304
iceland,25,23,62
india,312,125,431
italy,23,12,43
isarael,43,21,76
jamaica,28,73,92
japan,17,29,63
malaysia,25,13,54
mexico,31,17,73
newzealand,43,64,122
panama,9,6,37
poland,10,3,31
portugal,7,5,5
russia,32,41,87
southafrica,29,72,143
spain,9,14,35
turkey,12,16,29
unitedkingdom,562,319,1785
unitedstates,2716,639,4374
